backend,executor,solver-p,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,BiCGStab,none,0,8,1,0.116258,1
OF,reference,BiCGStab,none,0,8,1,0.113833,1
OF,reference,BiCGStab,none,0,8,1,0.115795,1
OF,reference,BiCGStab,none,0,8,1,0.115107,1
OF,reference,BiCGStab,none,0,8,1,0.116171,1
OF,reference,BiCGStab,none,0,8,1,0.117586,1
OF,reference,BiCGStab,none,0,8,1,0.117486,1
OF,reference,BiCGStab,none,0,8,1,0.114985,1
OF,reference,BiCGStab,none,0,8,1,0.115555,1
OF,reference,BiCGStab,none,0,8,1,0.112904,1
OF,reference,BiCGStab,none,0,8,1,0.115183,1
OF,reference,BiCGStab,none,0,8,1,0.114974,1
OF,reference,BiCGStab,none,0,8,1,0.118022,1
OF,reference,BiCGStab,none,0,8,1,0.113662,1
OF,reference,BiCGStab,none,0,8,1,0.113883,1
OF,reference,BiCGStab,none,0,8,1,0.112842,1
OF,reference,BiCGStab,none,0,8,1,0.116649,1
OF,reference,BiCGStab,none,0,8,1,0.114253,1
OF,reference,BiCGStab,none,0,8,1,0.120994,1
OF,reference,BiCGStab,none,0,8,1,0.119643,1
OF,reference,BiCGStab,none,0,8,1,0.115318,1
OF,reference,BiCGStab,none,0,8,1,0.113982,1
OF,reference,BiCGStab,none,0,8,1,0.114599,1
OF,reference,BiCGStab,none,0,8,1,0.115788,1
OF,reference,BiCGStab,none,0,8,1,0.114338,1
OF,reference,BiCGStab,none,0,8,1,0.115052,1
OF,reference,BiCGStab,none,0,8,1,0.116161,1
OF,reference,BiCGStab,none,0,8,1,0.114107,1
