backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,BiCGStab,none,0,8,1,0.124063,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119279,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11149,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112139,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117799,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119622,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112838,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113589,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110076,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117608,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115924,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113691,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115752,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112369,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114221,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113811,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11823,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118784,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111516,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111422,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111596,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113313,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112118,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112851,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114483,1
OF,reference,CG,BiCGStab,none,0,8,1,0.124144,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121876,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112188,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117328,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119586,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119205,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112117,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115644,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120303,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119336,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111012,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111208,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113141,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118599,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119644,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11288,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112703,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111768,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114557,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11358,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120604,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118446,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11252,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114399,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111438,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113677,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111911,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110982,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115964,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111906,1
OF,reference,CG,BiCGStab,none,0,8,1,0.12201,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11919,1
OF,reference,CG,BiCGStab,none,0,8,1,0.122129,1
OF,reference,CG,BiCGStab,none,0,8,1,0.122154,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113985,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112971,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117411,1
OF,reference,CG,BiCGStab,none,0,8,1,0.12044,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112673,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114253,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118548,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118647,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113758,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111713,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110772,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111445,1
OF,reference,CG,BiCGStab,none,0,8,1,0.126988,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11066,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112616,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11326,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114528,1
OF,reference,CG,BiCGStab,none,0,8,1,0.109802,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119114,1
OF,reference,CG,BiCGStab,none,0,8,1,0.123592,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113182,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111936,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111892,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111763,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110798,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113772,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115002,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112473,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117908,1
OF,reference,CG,BiCGStab,none,0,8,1,0.12092,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120449,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118489,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112747,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110609,1
OF,reference,CG,BiCGStab,none,0,8,1,0.122564,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11866,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112073,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11335,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11874,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120923,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113842,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112186,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112922,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114461,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11443,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110326,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115454,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111893,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111437,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113244,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117354,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117317,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116031,1
OF,reference,CG,BiCGStab,none,0,8,1,0.109567,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112275,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112742,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113011,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115534,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116549,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111493,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120065,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120503,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120888,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118403,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112461,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113942,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120167,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120332,1
