backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,8,1,0.115315,1,614
OF,reference,CG,none,8,1,0.121329,1,614
OF,reference,CG,none,8,1,0.112751,1,614
OF,reference,CG,none,8,1,0.116647,1,614
OF,reference,CG,none,8,1,0.118177,1,614
OF,reference,CG,none,8,1,0.119738,1,614
OF,reference,CG,none,8,1,0.119242,1,614
OF,reference,CG,none,8,1,0.116682,1,614
OF,reference,CG,none,8,1,0.11369,1,614
OF,reference,CG,none,8,1,0.116889,1,614
OF,reference,CG,none,8,1,0.114347,1,614
OF,reference,CG,none,8,1,0.118133,1,614
OF,reference,CG,none,8,1,0.119447,1,614
OF,reference,CG,none,8,1,0.119832,1,614
OF,reference,CG,none,8,1,0.118084,1,614
OF,reference,CG,none,8,1,0.118266,1,614
OF,reference,CG,none,8,1,0.115389,1,614
OF,reference,CG,none,8,1,0.11775,1,614
OF,reference,CG,none,8,1,0.12098,1,614
OF,reference,CG,none,8,1,0.121177,1,614
OF,reference,CG,none,8,1,0.118817,1,614
OF,reference,CG,none,8,1,0.118735,1,614
OF,reference,CG,none,8,1,0.116403,1,614
OF,reference,CG,none,8,1,0.114627,1,614
OF,reference,CG,none,8,1,0.118229,1,614
OF,reference,CG,none,8,1,0.117045,1,614
OF,reference,CG,none,8,1,0.117438,1,614
OF,reference,CG,none,8,1,0.12351,1,614
OF,reference,CG,none,8,1,0.118241,1,614
OF,reference,CG,none,8,1,0.117744,1,614
OF,reference,CG,none,8,1,0.114773,1,614
OF,reference,CG,none,8,1,0.115396,1,614
OF,reference,CG,none,8,1,0.113885,1,614
OF,reference,CG,none,8,1,0.117176,1,614
OF,reference,CG,none,8,1,0.112195,1,614
OF,reference,CG,none,8,1,0.118038,1,614
OF,reference,CG,none,8,1,0.117368,1,614
OF,reference,CG,none,8,1,0.116419,1,614
OF,reference,CG,none,8,1,0.121076,1,614
OF,reference,CG,none,8,1,0.115083,1,614
OF,reference,CG,none,8,1,0.113332,1,614
OF,reference,CG,none,8,1,0.119844,1,614
OF,reference,CG,none,8,1,0.117417,1,614
OF,reference,CG,none,8,1,0.120678,1,614
OF,reference,CG,none,8,1,0.123228,1,614
OF,reference,CG,none,8,1,0.123158,1,614
OF,reference,CG,none,8,1,0.118888,1,614
OF,reference,CG,none,8,1,0.118695,1,614
