backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211377,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.210464,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.213061,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.223809,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211575,1,425
GKO,cuda,CG,BiCGStab,none,16,1,1.450438,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.492248,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.46042,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.442796,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.458065,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.450342,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.424255,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.430406,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.466324,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.42602,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.440012,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.461173,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.455019,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.432832,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.434547,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.435118,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.4345,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.439995,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.424428,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.456433,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.439475,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.437431,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.439997,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.437566,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.448036,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.434378,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.454435,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.435078,1,1409
